"","churned","CreationDatePeriods","Company_Number","total_products","total_transactions","total_revenue","total_usage","total_accounts"
"7051","No","2010 - 2014",330764,3,93,1459.64,139995,1
"7052","Yes","2010 - 2014",330776,1,21,921.2,25255,1
"7053","No","2010 - 2014",330790,1,19,827.83,6646,1
"7054","No","2010 - 2014",330805,4,203,34698.91,489741,3
"7055","No","2010 - 2014",330870,2,22,480.27,1953,1
"7056","No","2010 - 2014",330875,2,89,2460.16,54676,1
"7057","No","2010 - 2014",330882,3,202,217088.89,1953416,1
"7058","No","2010 - 2014",330889,1,32,1279.01,2342,1
"7059","No","2010 - 2014",330920,3,67,18713.72,1020258,1
"7060","No","2010 - 2014",330931,1,17,36.21,0,1
"7061","No","2010 - 2014",330934,1,16,2400,0,1
"7062","No","2010 - 2014",330946,3,65,24051.03,149420,1
"7063","No","2010 - 2014",330954,3,75,222585.25,99340,3
"7064","No","2010 - 2014",330955,2,114,10343.88,101595,21
"7065","No","2010 - 2014",330967,3,133,12553.79,110971,3
"7066","Yes","2010 - 2014",330993,3,33,1705.04,32779,1
"7067","No","2010 - 2014",330998,4,53,20310.37,434687,38
"7068","No","2010 - 2014",331008,2,83,11292.77,167438,1
"7069","No","2010 - 2014",331023,1,34,602.71,83089,1
"7070","Yes","2010 - 2014",331035,3,60,5370.3,49136,1
"7071","No","2010 - 2014",331050,2,5,13.77,14,1
"7072","No","2010 - 2014",331053,1,1,1.22,5,1
"7073","No","2010 - 2014",331067,1,28,1546.98,218975,1
"7074","Yes","2010 - 2014",331071,1,17,8010,90214,1
"7075","No","2010 - 2014",331074,2,52,8744.06,377946,1
"7076","No","2010 - 2014",331082,2,88,28284.76,212799,1
"7077","No","2010 - 2014",331083,3,105,25214.98,177735,1
"7078","No","2010 - 2014",331101,1,2,21.77,40,1
"7079","No","2010 - 2014",331127,1,71,7403.98,32164,2
"7080","No","2010 - 2014",331134,1,37,382.52,13963,2
"7081","No","2010 - 2014",331140,1,4,-315,0,1
"7082","No","2010 - 2014",331235,2,13,95.09,834,1
"7083","Yes","2010 - 2014",331237,1,1,2.19,50,1
"7084","No","2010 - 2014",331246,1,2,2.26,139,1
"7085","No","2010 - 2014",331262,3,81,14427.8,388819,1
"7086","No","2010 - 2014",331303,1,7,5.33,7,2
"7087","No","2010 - 2014",331338,1,30,831.95,6710,1
"7088","No","2010 - 2014",331342,1,22,833.63,3149,1
"7089","No","2010 - 2014",331344,1,36,145.27,3578,1
"7090","No","2010 - 2014",331378,1,11,283.33,373,1
"7091","No","2010 - 2014",331383,2,69,5907.63,36234,1
"7092","No","2010 - 2014",331395,1,16,167.81,2052,1
"7093","No","2010 - 2014",331397,1,24,674.62,4091,2
"7094","No","2010 - 2014",331421,3,67,13101.89,186972,1
"7095","No","2010 - 2014",331483,1,2,1188.39,0,1
"7096","Yes","2010 - 2014",331499,3,61,74141.69,883640,1
"7097","No","2010 - 2014",331519,1,5,139.21,581,1
"7098","No","2010 - 2014",331547,1,34,449.88,7498,1
"7099","No","2010 - 2014",331565,2,21,437.33,2037,1
"7100","No","2010 - 2014",331572,1,3,26.19,25,1
"7101","No","2010 - 2014",331575,6,296,244710.68,1009658,2
